Reciprocal In Out
3.0 1.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
21.0 1.0 1.0
4.0 1.0 2.0
0.0 0.0 0.0
0.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
25.0 1.0 1.0
2.0 0.0 0.0
3.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
6.0 1.0 3.0
3.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 1.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
5.0 1.0 0.0
0.0 0.0 0.0
6.0 1.0 5.0
5.0 1.0 1.0
1.0 0.0 0.0
2.0 1.0 0.0
1.0 0.0 0.0
1.0 0.0 3.0
0.0 0.0 0.0
42.0 27.0 24.0
4.0 0.0 1.0
0.0 0.0 0.0
31.0 4.0 286.0
0.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 4.0
12.0 4.0 1.0
1.0 0.0 0.0
3.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 1.0
14.0 1.0 0.0
1.0 0.0 0.0
1.0 1.0 0.0
1.0 0.0 0.0
2.0 0.0 0.0
35.0 16.0 19.0
2.0 0.0 0.0
16.0 1.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
4.0 1.0 0.0
2.0 1.0 0.0
33.0 8.0 58.0
3.0 0.0 2.0
4.0 1.0 0.0
4.0 0.0 1.0
0.0 0.0 0.0
0.0 0.0 0.0
3.0 0.0 0.0
7.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 0.0
2.0 1.0 1.0
0.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
16.0 5.0 8.0
0.0 0.0 0.0
19.0 4.0 14.0
0.0 0.0 0.0
2.0 0.0 0.0
12.0 2.0 40.0
11.0 9.0 1.0
1.0 0.0 0.0
13.0 3.0 7.0
10.0 1.0 1.0
1.0 1.0 0.0
4.0 0.0 0.0
9.0 2.0 1.0
4.0 0.0 1.0
8.0 0.0 0.0
2.0 0.0 0.0
7.0 1.0 22.0
3.0 1.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
0.0 0.0 0.0
19.0 9.0 154.0
5.0 1.0 3.0
7.0 0.0 1.0
1.0 0.0 0.0
1.0 0.0 1.0
1.0 0.0 0.0
6.0 0.0 2.0
1.0 0.0 0.0
4.0 0.0 0.0
1.0 0.0 0.0
8.0 3.0 1.0
2.0 0.0 0.0
2.0 0.0 0.0
1.0 0.0 0.0
1.0 0.0 0.0
4.0 4.0 1.0
