Reciprocal In Out Total
2.0 1.0 0.0 3.0
8.0 11.0 15.0 34.0
0.0 1.0 0.0 1.0
1.0 1.0 0.0 2.0
12.0 2.0 1.0 15.0
1.0 1.0 0.0 2.0
2.0 4.0 0.0 6.0
14.0 24.0 2.0 40.0
46.0 33.0 81.0 160.0
5.0 1.0 1.0 7.0
1.0 1.0 0.0 2.0
3.0 2.0 0.0 5.0
31.0 42.0 86.0 159.0
0.0 1.0 0.0 1.0
2.0 6.0 7.0 15.0
6.0 22.0 21.0 49.0
31.0 36.0 1.0 68.0
14.0 19.0 97.0 130.0
0.0 1.0 0.0 1.0
1.0 1.0 0.0 2.0
1.0 2.0 0.0 3.0
1.0 0.0 0.0 1.0
0.0 1.0 0.0 1.0
3.0 10.0 17.0 30.0
5.0 8.0 1.0 14.0
63.0 74.0 209.0 346.0
0.0 0.0 0.0 0.0
10.0 20.0 7.0 37.0
1.0 1.0 0.0 2.0
1.0 4.0 0.0 5.0
0.0 1.0 0.0 1.0
1.0 4.0 0.0 5.0
0.0 0.0 0.0 0.0
7.0 18.0 0.0 25.0
4.0 2.0 0.0 6.0
1.0 10.0 0.0 11.0
0.0 1.0 0.0 1.0
0.0 0.0 0.0 0.0
3.0 7.0 1.0 11.0
21.0 12.0 1.0 34.0
0.0 1.0 0.0 1.0
1.0 2.0 0.0 3.0
1.0 1.0 0.0 2.0
1.0 1.0 0.0 2.0
10.0 12.0 1.0 23.0
5.0 12.0 1.0 18.0
0.0 2.0 0.0 2.0
68.0 37.0 106.0 211.0
1.0 3.0 2.0 6.0
1.0 1.0 0.0 2.0
3.0 2.0 0.0 5.0
17.0 24.0 1.0 42.0
1.0 1.0 0.0 2.0
27.0 33.0 101.0 161.0
14.0 17.0 9.0 40.0
1.0 2.0 0.0 3.0
1.0 3.0 0.0 4.0
3.0 2.0 3.0 8.0
1.0 1.0 0.0 2.0
39.0 50.0 24.0 113.0
1.0 1.0 0.0 2.0
9.0 19.0 0.0 28.0
5.0 8.0 0.0 13.0
0.0 1.0 0.0 1.0
16.0 6.0 21.0 43.0
1.0 2.0 0.0 3.0
4.0 11.0 0.0 15.0
1.0 2.0 0.0 3.0
2.0 14.0 2.0 18.0
3.0 50.0 9.0 62.0
1.0 4.0 0.0 5.0
5.0 16.0 1.0 22.0
21.0 38.0 66.0 125.0
21.0 30.0 6.0 57.0
1.0 1.0 0.0 2.0
6.0 12.0 2.0 20.0
9.0 20.0 0.0 29.0
1.0 12.0 12.0 25.0
0.0 1.0 0.0 1.0
2.0 9.0 0.0 11.0
2.0 1.0 0.0 3.0
3.0 6.0 0.0 9.0
1.0 4.0 1.0 6.0
1.0 7.0 1.0 9.0
4.0 1.0 1.0 6.0
1.0 1.0 0.0 2.0
2.0 7.0 0.0 9.0
0.0 0.0 0.0 0.0
3.0 2.0 0.0 5.0
1.0 1.0 0.0 2.0
1.0 1.0 0.0 2.0
0.0 1.0 0.0 1.0
1.0 0.0 0.0 1.0
5.0 3.0 2.0 10.0
12.0 25.0 2.0 39.0
3.0 1.0 0.0 4.0
18.0 27.0 0.0 45.0
2.0 5.0 1.0 8.0
0.0 0.0 0.0 0.0
12.0 22.0 1.0 35.0
1.0 1.0 1.0 3.0
1.0 1.0 0.0 2.0
9.0 5.0 0.0 14.0
2.0 6.0 0.0 8.0
1.0 2.0 0.0 3.0
2.0 2.0 0.0 4.0
0.0 1.0 0.0 1.0
1.0 6.0 0.0 7.0
0.0 1.0 0.0 1.0
0.0 2.0 0.0 2.0
44.0 61.0 167.0 272.0
6.0 19.0 0.0 25.0
3.0 2.0 0.0 5.0
0.0 1.0 0.0 1.0
2.0 7.0 0.0 9.0
1.0 1.0 0.0 2.0
14.0 48.0 12.0 74.0
14.0 31.0 67.0 112.0
11.0 18.0 11.0 40.0
14.0 14.0 28.0 56.0
1.0 9.0 1.0 11.0
0.0 1.0 0.0 1.0
10.0 22.0 71.0 103.0
1.0 1.0 0.0 2.0
14.0 20.0 1.0 35.0
1.0 3.0 0.0 4.0
1.0 1.0 0.0 2.0
1.0 0.0 0.0 1.0
0.0 0.0 0.0 0.0
1.0 1.0 0.0 2.0
1.0 2.0 1.0 4.0
1.0 0.0 0.0 1.0
6.0 8.0 0.0 14.0
0.0 1.0 0.0 1.0
2.0 5.0 0.0 7.0
0.0 0.0 0.0 0.0
1.0 12.0 1.0 14.0
0.0 0.0 0.0 0.0
3.0 3.0 0.0 6.0
11.0 24.0 13.0 48.0
1.0 1.0 0.0 2.0
12.0 91.0 168.0 271.0
21.0 26.0 33.0 80.0
0.0 2.0 0.0 2.0
1.0 3.0 3.0 7.0
1.0 1.0 0.0 2.0
2.0 1.0 0.0 3.0
0.0 1.0 0.0 1.0
2.0 1.0 0.0 3.0
1.0 3.0 0.0 4.0
15.0 6.0 4.0 25.0
1.0 2.0 0.0 3.0
10.0 1.0 1.0 12.0
1.0 4.0 0.0 5.0
1.0 3.0 0.0 4.0
0.0 1.0 0.0 1.0
0.0 0.0 0.0 0.0
1.0 4.0 0.0 5.0
0.0 0.0 0.0 0.0
1.0 1.0 0.0 2.0
